#{"t_start": 1765816684.0851827, "env_id": "None"}
r,l,t
0.006475,324,672.28424
0.019546,258,673.983999
0.005225,603,677.388521
0.0,695,681.206352
0.002266,157,682.65672
0.0,70,683.487632
0.012413,738,687.45767
0.000726,130,688.543809
0.02169,556,691.639806
0.0,151,692.898105
0.0,139,694.015428
0.0,98,694.985547
0.0,513,699.589163
0.007265,150,700.73187
0.0,227,702.424349
0.0,40,703.15251
0.0155,362,705.6214
0.0,517,708.818688
0.005125,924,714.18457
0.0,232,715.788473
0.001472,78,716.603348
9.7e-05,75,717.424297
0.016988,581,720.736787
0.0,547,723.912383
0.0,59,724.638208
0.0,218,726.07232
0.005907,536,730.678007
0.0,292,732.607946
0.0,574,735.938039
0.0,171,737.226073
0.0,1001,742.489598
0.0,909,747.250643
0.0,154,748.446187
0.006695,348,750.593309
0.002765,289,754.142777
0.000158,213,755.639379
0.008859,672,759.359982
0.0,203,760.801911
0.0,71,761.592569
0.0,140,762.698846
0.0,1001,767.942007
0.019525,56,768.65496
0.0,212,770.10515
0.013579,66,770.871346
0.008675,280,772.608914
0.014756,337,774.723916
0.01821,325,776.707041
0.006055,837,782.75087
0.00027,961,787.817836
0.0,757,791.877759
0.0,219,793.367225
0.005326,965,798.470846
0.000233,180,799.868557
0.001304,429,802.374021
0.006699,83,803.224208
0.0,1001,810.095103
0.0,600,813.435842
0.023931,222,815.010878
0.046874,308,816.944881
0.0,170,818.176863
0.006101,411,820.594514
0.0,943,825.570436
0.003993,28,826.157828
0.003377,104,827.115821
0.017673,407,831.150016
0.013451,63,831.956012
0.0,42,832.622149
0.0,465,835.358499
0.0,249,836.999438
0.000995,128,838.054792
0.014171,176,839.310631
0.008214,219,840.832604
0.005966,141,841.927388
0.0,375,844.186488
0.008493,84,845.024725
0.003179,158,846.253986
0.012287,264,847.983733
0.0,189,849.339546
0.0,465,852.063016
0.0,782,856.217862
0.0,388,860.208788
0.011013,1001,865.456667
0.002584,369,867.694293
0.0,960,872.724923
0.001134,523,875.721968
0.0,97,876.611201
0.0,262,878.310291
0.0,881,884.598407
0.0,212,886.130364
0.001569,285,887.929137
0.0,238,889.546108
0.0,565,892.70186
0.001005,130,893.777004
0.0,421,896.242617
0.0,73,897.071893
0.0,115,898.113594
0.000133,59,898.853407
0.003759,164,900.040995
0.013746,202,901.459659
0.0,610,904.839116
0.0,63,905.609126
0.000786,121,906.635141
0.0,1001,913.513352
0.008768,225,915.016568
0.014574,377,917.311975
0.0,331,919.275555
0.0,219,920.772176
0.016049,225,922.302131
0.001706,95,923.21608
0.005676,84,924.090831
0.0,45,924.752892
0.0,217,926.234147
0.0,148,927.431946
0.0,118,928.52922
0.008901,119,929.573195
0.00615,255,931.336022
0.016387,1001,937.00969
0.0,575,941.922604
0.0,642,945.582785
0.0,115,946.587471
0.000263,706,950.559958
